Off-set 	40 	
	
RSSI 	D stima 	D stima +off-set 	Delta D
1 	    392,4849 	432,4849 	        27,8297
2 	    364,6552 	404,6552 	        26,2109
3 	    338,4443 	378,4443 	        24,6587
4 	    313,7856 	353,7856 	        23,1731
5 	    290,6125 	330,6125 	        21,7541
6 	    268,8584 	308,8584 	        20,4017
7 	    248,4567 	288,4567 	        19,1159
8 	    229,3408 	269,3408 	        17,8967
9 	    211,4441 	251,4441 	        16,7441
10 	    194,7 	    234,7 	            15,6581
11  	179,0419 	219,0419 	        14,6387
12  	164,4032 	204,4032 	        13,6859
13 	    150,7173 	190,7173 	        12,7997
14 	    137,9176 	177,9176 	        11,9801
15 	    125,9375 	165,9375 	        11,2271
16 	    114,7104 	154,7104 	        10,5407
17  	104,1697 	144,1697 	        9,9209
18   	94,2488 	134,2488 	        9,3677
19   	84,8811 	124,8811 	        8,8811
20  	76 	        116                 8,4611
21   	67,5389 	107,5389 	        8,1077
22  	59,4312 	99,4312 	        7,8209
23 	    51,6103 	91,6103 	        7,6007
24 	    44,0096 	84,0096 	        7,4471
25 	    36,5625 	76,5625 	        7,3601
26 	    29,2024 	69,2024 	        7,3397
27  	21,8627 	61,8627 	        7,3859
28  	14,4768 	54,4768 	        7,4987
29 	    6,9781 	    46,9781 	        7,6781
30 	    -0,7 	    39,3 	            7,9241
31   	-8,6241 	31,3759 	        8,2367
32  	-16,8608 	23,1392 	

